13:57:04: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
13:57:04: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | main | 137] Connected!
13:57:04: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE_ALTITUDE: 1m
13:57:04: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGE_ALTITUDE: -1m
13:57:05: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 360.0
13:57:05: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 360.0
13:57:06: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 360.0
13:57:06: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 358.0
13:57:07: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 362.0
13:57:07: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 423.434948822922
13:57:08: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 450.0
13:57:08: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 476.565051177078
13:57:09: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 405.0
13:57:09: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 423.434948822922
13:57:10: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 450.0
13:57:10: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 386.565051177078
13:57:11: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 405.0
13:57:11: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 450.0
13:57:12: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 405.0
13:57:12: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 450.0
13:57:13: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 495.0
13:57:13: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 333.434948822922
13:57:14: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 315.0
13:57:14: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 270.0
13:57:15: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 315.0
13:57:15: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 270.0
13:57:16: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 225.0
13:57:16: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 296.565051177078
13:57:17: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 270.0
13:57:17: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 243.43494882292202
13:57:18: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 315.0
13:57:18: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 296.565051177078
13:57:19: [INFO] [/Users/harikolla/autonomy-bootcamp-2025-p2/tests/integration/test_command.py | read_queue | 81] CHANGING_YAW: 270.0
